Business Name,Address,Phone,Website,Google Rating,Review Count,Category,Latitude,Longitude,CID,GMB URL,Source ZIP,Source Query,About
Cyber Nest LLC,"2918 Avenue I Unit #5055, Brooklyn, NY 11210",(347) 744-9694,https://www.cybernest.com/,5.0,1.0,Software company,40.628878,-73.947678,7715297840976574935,https://www.google.com/maps?cid=7715297840976574935,11223,software house USA 11223,"Cyber Nest LLC is a top-rated software company based in Brooklyn, NY. With a perfect 5-star rating and glowing reviews from satisfied customers, Cyber Nest LLC is known for its cutting-edge technology solutions and exceptional customer service. Located at 2918 Avenue I Unit #5055, Cyber Nest LLC is the go-to choice for businesses seeking innovative software development and IT services. Trust Cyber Nest LLC to take your company to new heights with their expertise and professionalism."
"DevsData LLC - IT Recruitment Agency (Poland, Europe, LatAm), IT staffing, IT recruiters","1820 Avenue M #481, Brooklyn, NY 11230",(917) 300-1752,https://devsdata.com/recruitment,4.8,21.0,Software company,40.6182814,-73.9565011,16528110396976468336,https://www.google.com/maps?cid=16528110396976468336,11223,software house USA 11223,"DevsData LLC is a leading IT recruitment agency with a strong presence in Poland, Europe, and LatAm. Our experienced IT recruiters specialize in IT staffing, connecting top talent with innovative companies. Located at 1820 Avenue M #481 in Brooklyn, NY, DevsData LLC has earned a stellar reputation with a rating of 4.8 based on 21 reviews. Trust us to help you find the perfect IT solution for your business needs."
Computer Software Plus,"1612 Kings Hwy, Brooklyn, NY 11229",(718) 758-4504,,3.7,10.0,Software company,40.6091635,-73.95688799999999,11568998273999469754,https://www.google.com/maps?cid=11568998273999469754,11223,software house USA 11223,"Computer Software Plus is a reputable software company located at 1612 Kings Hwy in Brooklyn, NY. With a rating of 3.7 stars and 10 reviews, Computer Software Plus offers top-notch software solutions for businesses and individuals alike. Our team of experts is dedicated to providing cutting-edge technology to meet all your software needs. Contact Computer Software Plus today for all your software solutions."
MYITEDU LLC,"3000 Ocean Pkwy, Brooklyn, NY 11235",(347) 576-4951,https://www.myitedu.us/?ref=google-business-profile,5.0,6.0,Software company,40.5774523,-73.9689362,11512675555425041760,https://www.google.com/maps?cid=11512675555425041760,11223,software house USA 11223,"Looking for a top-notch software company in Brooklyn, NY? Look no further than MYITEDU LLC. With a perfect 5-star rating and glowing reviews from 6 satisfied customers, we pride ourselves on delivering high-quality software solutions to meet your business needs. Visit us at 3000 Ocean Pkwy and experience excellence in software development."
HQSoftware,"315 Madison Ave #3045, New York, NY 10017",(737) 600-8787,https://hqsoftwarelab.com/,5.0,2.0,Software company,40.752541199999996,-73.9792042,5068945196791008523,https://www.google.com/maps?cid=5068945196791008523,11223,software house USA 11223,"HQSoftware is a top-rated software company located at 315 Madison Ave #3045, New York, NY 10017. With a stellar rating of 5 stars and glowing reviews from satisfied customers, HQSoftware is known for delivering high-quality software solutions that exceed client expectations. Contact HQSoftware today for all your software development needs."
JMK Technical Services Inc.,"837 Avenue Z, Brooklyn, NY 11235",(800) 984-9830,,4.7,87.0,Computer software store,40.587174999999995,-73.9631485,6333499494277177698,https://www.google.com/maps?cid=6333499494277177698,11223,software house USA 11223,"JMK Technical Services Inc. is a reputable computer software store located in Brooklyn, NY. With a stellar rating of 4.7 stars and 87 positive reviews, JMK Technical Services Inc. is a go-to destination for all your software needs. From productivity tools to security software, JMK Technical Services Inc. offers a wide range of products to help optimize your computer use. Visit us at 837 Avenue Z and experience top-notch service and quality software solutions."
United Software Developers Inc,"2913 Ave V, Brooklyn, NY 11229",(212) 840-5091,https://www.usdsoftware.com/,5.0,4.0,Software company,40.598384300000006,-73.9419869,8865448123199423295,https://www.google.com/maps?cid=8865448123199423295,11223,software house USA 11223,"United Software Developers Inc is a top-rated software company located in Brooklyn, NY. With a perfect 5-star rating and glowing reviews from satisfied clients, we are dedicated to providing innovative software solutions for businesses of all sizes. Contact us today for all your software development needs."
Persite Technologies,"1294 E 19th St, Brooklyn, NY 11230",(718) 436-1800,http://www.persite.com/,5.0,4.0,Computer consultant,40.618688399999996,-73.95643609999999,6377858438597052605,https://www.google.com/maps?cid=6377858438597052605,11223,software house USA 11223,"Persite Technologies is a top-rated computer consultant based in Brooklyn, NY. With a solid 5-star rating and rave reviews from 4 satisfied customers, we offer expert tech solutions for businesses and individuals. Trust Persite Technologies to deliver reliable and efficient IT services that meet your needs and exceed your expectations. Contact us today for all your computer consulting needs."
Web Soft House,"29-35 W 28th St, New York, NY 10001",(661) 337-5077,http://websofthouse.net/,4.5,4.0,Software company,40.744067,-73.98545399999999,14656888236577940694,https://www.google.com/maps?cid=14656888236577940694,11223,software house USA 11223,"Web Soft House is a leading software company located in New York, NY, specializing in creating innovative solutions for businesses of all sizes. With a stellar rating of 4.5 and glowing reviews from satisfied customers, we pride ourselves on delivering top-notch services that exceed expectations. Contact us today to see how we can help take your business to the next level with our cutting-edge software solutions."
Decamind,"1656 86th St, Brooklyn, NY 11214",(212) 500-0598,http://www.decamind.com/,5.0,5.0,Computer support and services,40.6090503,-74.006039,75944145519357603,https://www.google.com/maps?cid=75944145519357603,11223,software house USA 11223,"Decamind in Brooklyn, NY is a leading provider of professional computer support and services. With a perfect 5-star rating and glowing reviews from satisfied customers, Decamind is the go-to destination for all your computer needs. Whether you're experiencing technical issues, need software installation, or require hardware upgrades, Decamind has the expertise and experience to help. Visit us at 1656 86th St, Brooklyn, NY 11214 and experience top-notch computer support services today."
Thoughtful Systems,"495 Flatbush Ave, Brooklyn, NY 11225",(800) 759-2532,https://www.thoughtfulsystems.com/,4.6,12.0,Software company,40.6625048,-73.9614225,3095595516884846928,https://www.google.com/maps?cid=3095595516884846928,11223,software house USA 11223,"Thoughtful Systems is a leading software company located at 495 Flatbush Ave in Brooklyn, NY. With a solid 4.6 rating and 12 positive reviews, we provide innovative solutions for businesses looking to streamline their operations. Our team of experts is dedicated to creating software that enhances productivity and efficiency. Contact us today to see how our thoughtful systems can benefit your company."
Roytek Computer(Mac and PC Repair Services),"80 Avenue O Store 1, Brooklyn, NY 11204",(917) 443-9019,http://www.roytekcomputer.com/,5.0,153.0,Computer repair service,40.6100971,-73.9821535,6854337354219568860,https://www.google.com/maps?cid=6854337354219568860,11223,software house USA 11223,"Roytek Computer offers expert Mac and PC repair services in Brooklyn, NY. With a stellar 5-star rating and over 150 positive reviews, you can trust our team of technicians to handle all your computer needs efficiently and professionally. Visit us at 80 Avenue O Store 1 for quality, reliable repairs for your devices."
SoftwareOne - New York Office,"33 Irving Pl, New York, NY 10003",(800) 444-9890,https://www.softwareone.com/en-us,3.0,2.0,Software company,40.7351721,-73.9881406,617260476053369822,https://www.google.com/maps?cid=617260476053369822,11223,software house USA 11223,"SoftwareOne's New York office is a leading software company located at 33 Irving Pl, New York, NY 10003. With a solid rating of 3 stars and 2 reviews, they offer top-notch software solutions to meet the needs of businesses in the bustling city. Contact SoftwareOne today for all your software needs in the heart of New York."
Tech Software,"5211 New Utrecht Ave, Brooklyn, NY 11219",(718) 686-9435,,,,Software company,40.633638999999995,-73.9949711,1584042182196924933,https://www.google.com/maps?cid=1584042182196924933,11223,software house USA 11223,"Tech Software is a leading software company located in Brooklyn, NY. Specializing in a wide range of software solutions, we strive to provide top-notch services to our clients. With a commitment to innovation and excellence, our team of experts is dedicated to delivering cutting-edge technologies to meet your business needs. Contact us today to experience the difference with Tech Software."
Kodexo Labs New York | Mobile App & Custom Software Development Company New York,"211 E 43rd St 7th Flr #580, New York, NY 10017",(512) 883-0081,https://kodexolabs.com/locations/custom-software-development-new-york?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-ny,5.0,3.0,Software company,40.7512499,-73.97316789999999,5351996341374954689,https://www.google.com/maps?cid=5351996341374954689,11223,software house USA 11223,"Kodexo Labs New York is a top-rated mobile app and custom software development company located in the heart of New York City. With a perfect 5-star rating and glowing reviews from satisfied clients, our expert team is dedicated to delivering innovative and tailored solutions for businesses of all sizes. Contact us today to bring your digital ideas to life with cutting-edge technology and unparalleled expertise."
Technosip,"19th Floor, 222 Broadway, New York, NY 10038",(201) 633-4050,https://www.technosip.com/,5.0,4.0,Software company,40.710968,-74.0084713,16011454683095712096,https://www.google.com/maps?cid=16011454683095712096,11223,software house USA 11223,"Technosip is a highly acclaimed software company located in the heart of New York City. With a perfect 5-star rating and glowing reviews from satisfied clients, we are the go-to choice for businesses looking for cutting-edge technology solutions. Contact us today to see how we can help elevate your company to the next level with our innovative software services."
Taj Software Systems Corporation,"1711 60th St # 1F, Brooklyn, NY 11204",(718) 259-1933,,3.7,3.0,Software company,40.6232736,-73.9890381,3091804099053650242,https://www.google.com/maps?cid=3091804099053650242,11223,software house USA 11223,"Taj Software Systems Corporation is a leading software company located in Brooklyn, NY. With a 3.7 rating and glowing reviews from satisfied clients, they are known for their innovative solutions and exceptional customer service. If you're looking for top-notch software development services, look no further than Taj Software Systems Corporation."
Software Development Company : Cloudester Software LLC,"85 Delancey St, New York, NY 10002",(929) 325-0230,https://cloudester.com/,5.0,6.0,Software company,40.7187485,-73.989578,3091341339841084590,https://www.google.com/maps?cid=3091341339841084590,11223,software house USA 11223,"Cloudester Software LLC is a top-rated software development company located in New York City. With a perfect 5-star rating and glowing reviews from satisfied customers, Cloudester Software LLC specializes in creating custom software solutions for businesses of all sizes. Whether you need a mobile app, web application, or software integration, Cloudester Software LLC has the expertise and experience to bring your vision to life. Contact them today to discuss your software development needs."
Unified Infotech | Best Software Development Company,"79 Madison Ave #723, Manhattan, NY 10016",(201) 761-9432,https://www.unifiedinfotech.net/services/custom-software-development/?utm_source=referral&utm_medium=GMB+USA&utm_id=GMB,5.0,28.0,Software company,40.7441779,-73.98541809999999,7997212686532984767,https://www.google.com/maps?cid=7997212686532984767,11223,software house USA 11223,"Unified Infotech is the leading software development company in Manhattan, New York. With a 5-star rating and 28 positive reviews, our team of expert developers deliver top-notch solutions tailored to meet your business needs. Trust Unified Infotech for all your software development requirements and experience excellence in technology."
Microsoft Technical Support Phone Number,"1958 50th St Apt# 1H, Brooklyn, NY 11204",(718) 535-7856,,2.3,3.0,Computer support and services,40.6251819,-73.97781210000001,2924521751677507283,https://www.google.com/maps?cid=2924521751677507283,11223,software house USA 11223,"Experience reliable and efficient technical support for all your Microsoft products by calling Microsoft Technical Support Phone Number. Our team of experts is dedicated to providing top-notch computer support services to ensure your devices are running smoothly. Located in Brooklyn, NY, our services are just a phone call away. With a rating of 2.3 and positive reviews from satisfied customers, you can trust us to resolve any technical issues you may encounter. Contact us today for assistance with your Microsoft products."
Concentris IT,"151 Von Roll Dr, Schenectady, NY 12306",(518) 377-3130,,,,Computer consultant,42.802875,-73.982935,17924693364900858574,https://www.google.com/maps?cid=17924693364900858574,12345,software house USA 12345,"Concentris IT is a trustworthy computer consultant located in Schenectady, NY. Our team of experts is dedicated to providing top-notch IT solutions and support for businesses of all sizes. With a focus on customer satisfaction, we strive to deliver efficient and effective services to help our clients achieve their technology goals. Contact us today for all your IT needs."
The Software House Sp. z o. o.,"Dolnych Wałów 8, 44-100 Gliwice, Poland",,http://tsh.io/,4.8,71.0,Software company,50.294303799999994,18.6684169,246356191471745931,https://www.google.com/maps?cid=246356191471745931,12345,software house USA 12345,"The Software House Sp. z o. o. is a leading software company located in Gliwice, Poland. With a stellar rating of 4.8 and 71 glowing reviews, we are dedicated to providing top-notch software solutions for businesses of all sizes. Our expert team of developers and engineers are committed to delivering innovative and high-quality software products to help your business thrive in today's competitive market. Contact us today to see how we can help your company reach its full potential."
"Complete: IT Evolved - Albany, NY Managed Service Provider","14 Corporate Woods Blvd #217, Albany, NY 12211",(877) 877-1840,http://complete.net/,5.0,46.0,Computer service,42.683555,-73.7648818,9045433704310174450,https://www.google.com/maps?cid=9045433704310174450,12345,software house USA 12345,"Complete IT Evolved is a premier managed service provider in Albany, NY, specializing in comprehensive computer services for businesses of all sizes. With a stellar rating of 5 stars based on 46 reviews, our experienced team is dedicated to evolving your IT infrastructure to meet the demands of today's digital landscape. Visit us at 14 Corporate Woods Blvd #217, Albany, NY 12211 to see how we can optimize your technology for success."
ComputeRx,"2215 Nott St, Niskayuna, NY 12309",(518) 878-9003,https://computerxny.com/,4.9,122.0,Computer repair service,42.81593410000001,-73.8939414,3302379632824675745,https://www.google.com/maps?cid=3302379632824675745,12345,software house USA 12345,"Looking for reliable computer repair service in Niskayuna, NY? Look no further than ComputeRx! With a stellar rating of 4.9 and 122 glowing reviews, our team of experts is dedicated to providing top-notch service to get your devices up and running smoothly. Visit us at 2215 Nott St for all your computer repair needs."
innoSoul Inc,"24 Fairfield Ave, Albany, NY 12205",(518) 400-0755,http://www.innosoul.com/,4.6,5.0,Software company,42.6904015,-73.7984523,5325580978660094809,https://www.google.com/maps?cid=5325580978660094809,12345,software house USA 12345,"innoSoul Inc is a top-rated software company located in Albany, NY. With a rating of 4.6 and glowing reviews from satisfied clients, we are known for our innovative solutions and exceptional customer service. Contact us at 24 Fairfield Ave for all your software needs."
Will Power PCs inc.,"United States 12304, 1716 State St, Schenectady, NY 12304",(518) 892-4419,https://willpowerpcs.com/,4.8,171.0,Computer repair service,42.7837277,-73.9080452,10413898085788631177,https://www.google.com/maps?cid=10413898085788631177,12345,software house USA 12345,"Will Power PCs Inc. is a top-rated computer repair service located in Schenectady, NY. With a stellar rating of 4.8 and over 171 glowing reviews, our team of expert technicians is dedicated to providing fast and reliable solutions for all your computer repair needs. Whether you're dealing with a hardware issue, software problem, or virus removal, we have the knowledge and experience to get your device up and running smoothly. Trust Will Power PCs Inc. to deliver exceptional service and customer satisfaction every time."
Osprey Software,"1 Marcus Blvd #202, Albany, NY 12205",(888) 677-7394,http://ospreysoftware.com/,5.0,2.0,Software company,42.7222574,-73.7986985,11262774060528157938,https://www.google.com/maps?cid=11262774060528157938,12345,software house USA 12345,"Osprey Software is a leading software company located at 1 Marcus Blvd #202, Albany, NY 12205. With a stellar rating of 5 stars and glowing reviews from satisfied customers, Osprey Software is dedicated to providing top-notch software solutions to meet the needs of businesses of all sizes. Contact Osprey Software today to elevate your business to the next level with cutting-edge technology."
Eyemax Computer Geeks In Town - Network Support Technician,"1535 Central Ave, Albany, NY 12205",(518) 709-9040,https://computergeeksintown.com/,4.9,326.0,Computer repair service,42.7139884,-73.8282601,12908713680457535105,https://www.google.com/maps?cid=12908713680457535105,12345,software house USA 12345,"If you're in need of reliable network support and computer repair services in Albany, NY, look no further than Eyemax Computer Geeks In Town. With a stellar rating of 4.9 and over 300 positive reviews, our team of experienced network support technicians are dedicated to providing top-notch service to ensure your technology is running smoothly. Visit us at 1535 Central Ave for all your computer repair needs."
STEADfast IT,"112 S Broadway, Saratoga Springs, NY 12866",(518) 581-7200,https://www.steadfastit.com/,4.9,44.0,Computer service,43.0684934,-73.7885553,15872398972200547983,https://www.google.com/maps?cid=15872398972200547983,12345,software house USA 12345,"STEADfast IT is a leading computer service provider located in Saratoga Springs, NY. With a stellar rating of 4.9 and 44 glowing reviews, our team of experts is dedicated to providing top-notch IT solutions to businesses of all sizes. Whether you need assistance with network security, data backups, or general tech support, STEADfast IT has you covered. Contact us today for reliable and efficient IT services that will keep your business running smoothly."
Triund Software Solutions Inc,"1234 Alexander Ct, Altamont, NY 12009",(716) 239-7597,,,,Software company,42.6901337,-73.9717309,7561196209657904420,https://www.google.com/maps?cid=7561196209657904420,12345,software house USA 12345,"Triund Software Solutions Inc is a leading software company located in Altamont, NY. We specialize in providing innovative solutions for businesses of all sizes. Our team of experienced professionals is dedicated to delivering top-notch software services that help our clients thrive in today's competitive market. Contact us today to see how we can take your business to the next level."
Hivelocity Data Center & Hosting,"175 Old Loudon Rd, Latham, NY 12110",(888) 869-4678,https://www.hivelocity.net/products/colocation/albany/?utm_source=GBP&utm_medium=organic,4.8,160.0,Web hosting company,42.7454652,-73.7592399,12847245097963894161,https://www.google.com/maps?cid=12847245097963894161,12345,software house USA 12345,"Hivelocity Data Center & Hosting is a premier web hosting company located at 175 Old Loudon Rd, Latham, NY 12110. With a stellar 4.8 rating based on 160 reviews, Hivelocity offers top-notch hosting services to meet the needs of businesses of all sizes. Trust Hivelocity to provide reliable and secure hosting solutions for your website."
Insight Retail Software Inc,"920 Albany St, Schenectady, NY 12307",(518) 688-2022,,5.0,1.0,Software company,42.8043769,-73.9333577,18278349491019017551,https://www.google.com/maps?cid=18278349491019017551,12345,software house USA 12345,"Insight Retail Software Inc is a premier software company located in Schenectady, NY. With a top rating of 5 stars, they have received glowing reviews for their innovative solutions and exceptional customer service. Whether you are in need of point-of-sale systems, inventory management software, or retail analytics, Insight Retail Software Inc has the expertise to meet your business needs. Contact them today to see how they can help elevate your retail operations to the next level."
SaQus IT Solutions,"90 State St, Albany, NY 12207",(518) 861-5661,http://www.saqus.com/,,,Software company,42.648639200000005,-73.753355,11542058277835866050,https://www.google.com/maps?cid=11542058277835866050,12345,software house USA 12345,"Welcome to SaQus IT Solutions, a leading software company located in Albany, NY. Specializing in innovative IT solutions for businesses of all sizes, we offer a wide range of services to help you streamline your operations and reach your goals. With a focus on cutting-edge technology and personalized service, our team of experts is dedicated to delivering top-notch software solutions tailored to your specific needs. Contact us today to learn more about how we can help take your business to the next level."
Best Buy,"1 Crossgates Mall Rd, Albany, NY 12203",(518) 452-6881,https://stores.bestbuy.com/ny/albany/1-crossgates-mall-rd-428.html/?ref=NS&loc=ns100,4.1,5100.0,Electronics store,42.689935,-73.850365,450799156063999592,https://www.google.com/maps?cid=450799156063999592,12345,software house USA 12345,"Best Buy is a top-rated electronics store located at 1 Crossgates Mall Rd in Albany, NY. With a 4.1 rating and over 5100 reviews, Best Buy offers a wide selection of the latest tech products to meet all your electronic needs. Visit us today for the best deals on electronics!"
The House,"51 Butterfield Terrace, Amherst, MA 01002",(413) 730-6800,,5.0,22.0,Software company,42.3862982,-72.5202864,5369840681467999905,https://www.google.com/maps?cid=5369840681467999905,12345,software house USA 12345,"The House is a top-rated software company located in Amherst, MA. With a perfect 5-star rating and glowing reviews from 22 satisfied customers, The House offers cutting-edge technology solutions for businesses looking to stay ahead in the digital age. Contact us today to see how our expertise can benefit your company."
